n_fds,round,n_attrs,fds,order_secs,graph_secs,repair_secs,total_secs
11,14,12,model->engine_type; model->airbags; model->width; model->length; model->is_power_steering; model->max_power; engine_type->displacement; engine_type->fuel_type; region_code->region_density; max_torque->max_power; max_power->max_torque,0.0007,0.0781,0.1326,0.2114
11,15,12,model->engine_type; model->airbags; model->width; model->length; model->is_power_steering; model->max_power; engine_type->displacement; engine_type->fuel_type; region_code->region_density; max_torque->max_power; max_power->max_torque,0.0007,0.2327,0.115,0.3485
11,16,12,model->engine_type; model->airbags; model->width; model->length; model->is_power_steering; model->max_power; engine_type->displacement; engine_type->fuel_type; region_code->region_density; max_torque->max_power; max_power->max_torque,0.0007,0.0671,0.1148,0.1825
11,17,12,model->engine_type; model->airbags; model->width; model->length; model->is_power_steering; model->max_power; engine_type->displacement; engine_type->fuel_type; region_code->region_density; max_torque->max_power; max_power->max_torque,0.0007,0.1885,0.1184,0.3077
11,18,12,model->engine_type; model->airbags; model->width; model->length; model->is_power_steering; model->max_power; engine_type->displacement; engine_type->fuel_type; region_code->region_density; max_torque->max_power; max_power->max_torque,0.0008,0.0917,0.1159,0.2084
11,19,12,model->engine_type; model->airbags; model->width; model->length; model->is_power_steering; model->max_power; engine_type->displacement; engine_type->fuel_type; region_code->region_density; max_torque->max_power; max_power->max_torque,0.0008,0.0966,0.1138,0.2112
11,20,12,model->engine_type; model->airbags; model->width; model->length; model->is_power_steering; model->max_power; engine_type->displacement; engine_type->fuel_type; region_code->region_density; max_torque->max_power; max_power->max_torque,0.0007,0.1154,0.1168,0.2329
11,21,12,model->engine_type; model->airbags; model->width; model->length; model->is_power_steering; model->max_power; engine_type->displacement; engine_type->fuel_type; region_code->region_density; max_torque->max_power; max_power->max_torque,0.0008,0.224,0.1188,0.3435
11,22,12,model->engine_type; model->airbags; model->width; model->length; model->is_power_steering; model->max_power; engine_type->displacement; engine_type->fuel_type; region_code->region_density; max_torque->max_power; max_power->max_torque,0.0007,0.186,0.1129,0.2996
11,23,12,model->engine_type; model->airbags; model->width; model->length; model->is_power_steering; model->max_power; engine_type->displacement; engine_type->fuel_type; region_code->region_density; max_torque->max_power; max_power->max_torque,0.0007,0.066,0.117,0.1837
11,24,12,model->engine_type; model->airbags; model->width; model->length; model->is_power_steering; model->max_power; engine_type->displacement; engine_type->fuel_type; region_code->region_density; max_torque->max_power; max_power->max_torque,0.0008,0.0714,0.1163,0.1886
11,25,12,model->engine_type; model->airbags; model->width; model->length; model->is_power_steering; model->max_power; engine_type->displacement; engine_type->fuel_type; region_code->region_density; max_torque->max_power; max_power->max_torque,0.0007,0.0816,0.1326,0.2149
11,26,12,model->engine_type; model->airbags; model->width; model->length; model->is_power_steering; model->max_power; engine_type->displacement; engine_type->fuel_type; region_code->region_density; max_torque->max_power; max_power->max_torque,0.0007,0.1594,0.1172,0.2773
11,27,12,model->engine_type; model->airbags; model->width; model->length; model->is_power_steering; model->max_power; engine_type->displacement; engine_type->fuel_type; region_code->region_density; max_torque->max_power; max_power->max_torque,0.0007,0.0974,0.1186,0.2168
11,28,12,model->engine_type; model->airbags; model->width; model->length; model->is_power_steering; model->max_power; engine_type->displacement; engine_type->fuel_type; region_code->region_density; max_torque->max_power; max_power->max_torque,0.0008,0.1479,0.1162,0.2649
11,29,12,model->engine_type; model->airbags; model->width; model->length; model->is_power_steering; model->max_power; engine_type->displacement; engine_type->fuel_type; region_code->region_density; max_torque->max_power; max_power->max_torque,0.0007,0.1726,0.1136,0.287
